rank,symbol,date,close,adr_pct,atr_14,gain_1m,gain_3m,gain_6m,gain_1m_pctile,gain_3m_pctile,gain_6m_pctile,momentum_pctile,dist_to_sma_10_pct,dist_to_sma_10_adr,dist_to_sma_20_pct,dist_to_sma_20_adr,dist_to_sma_50_pct,dist_to_sma_50_adr,triggers,next_earnings_date,earnings_when,days_to_earnings,avg_vol_20,avg_dollar_vol_20,shares,binding_cap,stop_price,risk_per_share,actual_risk_dollars,position_dollars,preferred_entry_low,preferred_entry_high,max_entry,extended,stop_exceeds_atr,score
11,FSLY,2026-07-23,19.43000030517578,7.20366864462032,1.4133792771204756,16.626653560227677,-22.866217176510762,117.82511366578933,0.8602941176470588,0.17169811320754716,0.9087378640776699,0.9087378640776699,-4.297475310486503,-0.5965675994405775,0.6857973502480988,0.09520112377187843,4.874938008716277,0.6767299065534985,AT_10MA AT_20MA AT_50MA,2026-08-05,amc,7,5035965.0,97291367.87949562,1029.3360620623553,concentration,19.21344946861267,0.21655083656311191,222.90358534418232,20000.0,20.01668910450262,20.2569635816131,20.72337874306286,false,false,0.9930632609030664
12,BLLN,2026-07-23,128.94000244140625,5.78986607526879,7.213775967264608,23.647874904852053,48.47997222352054,53.299252771063934,0.9191176470588235,0.8471698113207548,0.7417475728155339,0.9191176470588235,0.7980474336028516,0.1378352147058605,3.7308066945539378,0.6443683923001169,17.19544125046804,2.9699203793189213,AT_10MA AT_20MA,2026-08-05,amc,7,660895.0,81828649.51339722,155.11090135963454,concentration,125.71824848175049,3.221753959655757,499.7291606411761,20000.0,129.9568864577534,131.18322837218838,133.5637744413857,false,false,0.9893557422969188
13,ODD,2026-07-23,15.529999732971191,7.440170073733143,1.0905245691261427,22.57300425773805,-1.3341806937780754,-54.59064506863945,0.9136029411764706,0.4226415094339623,0.017475728155339806,0.9136029411764706,-5.920800202156842,-0.7957882875634388,-4.81165699533633,-0.646713307310468,12.184157891133129,1.6376181956039166,AT_10MA AT_20MA,,,,1281725.0,20387001.334958076,826.446645760436,risk,14.925,0.6049997329711907,500.0,12834.716187974507,15.545262284563071,15.730651461314515,16.090524569126142,false,false,0.9846346872082167
14,WBI,2026-07-23,35.540000915527344,5.135196944648568,1.7164319568606254,24.309201559449313,27.70392027652786,55.128769760956175,0.9227941176470588,0.7377358490566038,0.7592233009708738,0.9227941176470588,1.392800247472303,0.2712262572370767,4.808668893946048,0.9364137239093044,10.795163213009728,2.1021906909061117,AT_10MA AT_20MA,2026-08-05,amc,7,1040950.0,34538298.190402985,562.7461869665301,concentration,35.09365045547485,0.4463504600524928,251.18201944529685,20000.0,36.12821643619399,36.42000986886029,36.986432414624296,false,false,0.9827147525676938
15,ORKA,2026-07-23,91.94999694824219,6.225039804615151,5.1912932033810915,10.25179288481215,31.96038539829371,166.83110676481115,0.7757352941176471,0.769811320754717,0.9611650485436892,0.9611650485436892,3.021204656129605,0.485330977946475,3.4578553725625585,0.5554752228249137,19.253070385419267,3.092842935903049,AT_10MA AT_20MA,2026-08-10,unknown,10,1552850.0,137970231.31004333,191.64827208112396,risk,89.3410509109497,2.6089460372924833,500.0,17622.058032995235,92.38564751721789,93.26816736179268,94.98129411890844,false,false,0.9790221914008322
16,DELL,2026-07-23,439.3399963378906,7.307526858949975,31.518894018114196,2.7023230612887694,104.67738589816298,287.9039272923969,0.6544117647058824,0.969811320754717,0.9902912621359223,0.9902912621359223,4.693631200754252,0.642300916760323,4.708881307153166,0.6443878206736813,13.69322144249217,1.8738516746909037,AT_10MA AT_20MA,,,,7421005.0,3104441016.035309,45.522830078548694,concentration,431.92950607299804,7.410490264892587,337.34648912744456,20000.0,449.85945311257274,455.21766509565214,465.61890012162985,false,false,0.9771960240406843
17,MLKN,2026-07-23,21.459999084472656,5.361266291035971,0.9511780962583737,33.62390907908668,23.33333077558606,8.383837936241001,0.9595588235294118,0.7018867924528301,0.4912621359223301,0.9595588235294118,1.164954556039253,0.2172909332981753,3.1150950741341763,0.5810371850662615,18.15190752647269,3.385750033872157,AT_10MA AT_20MA,,,,972980.0,20081978.000001907,931.9664889674186,concentration,21.193499240875244,0.26649984359741197,248.36892354784624,20000.0,21.775588285189734,21.937288561553657,22.25117733331892,false,false,0.9726540616246498
18,DDOG,2026-07-23,244.38999938964844,5.362514296771614,12.818180462192103,10.799288785630946,84.94778304713194,97.95075425396217,0.7849264705882353,0.939622641509434,0.8912621359223301,0.939622641509434,-5.656124497333759,-1.054752338980039,-4.727689710441392,-0.8816181083727077,2.34101205250162,0.43655120022914917,AT_20MA AT_50MA,2026-08-06,bmo,8,4360540.0,1114589702.6921082,81.83640922275453,concentration,240.75020668029785,3.639792709350587,297.86756564841306,20000.0,248.36909694496325,250.5481876235359,254.7781871760593,false,false,0.9717654986522911
19,CHYM,2026-07-23,20.760000228881836,5.862788814276754,1.13609018411584,24.535093784457707,-12.8097408881644,-21.304014824394134,0.9246323529411764,0.2849056603773585,0.2796116504854369,0.9246323529411764,-4.296723540751989,-0.7328804903033237,-1.958091802452707,-0.3339864123511434,8.474952773368488,1.4455497275853992,AT_10MA AT_20MA,2026-08-05,amc,7,6107825.0,128749574.2990017,963.3911261800226,concentration,20.342774696350098,0.417225532531738,401.95137565681074,20000.0,21.013044786882137,21.20618011818183,21.58108987894006,false,false,0.9639180672268908
20,ATEX,2026-07-23,100.41999816894531,7.911101607339921,7.109078571188184,25.556381538010697,124.4022305451292,319.2901668894163,0.9264705882352942,0.9811320754716981,0.9922330097087378,0.9922330097087378,-1.759610249007584,-0.22242291103618458,-0.8656156812095197,-0.10941784395821706,19.389861459856782,2.450968578366743,AT_10MA AT_20MA,2026-08-11,unknown,11,483935.0,48806127.27813721,199.16351687591407,concentration,99.57960182189942,0.8403963470458962,167.37629204733187,20000.0,103.63454111664878,104.84308447375076,107.18908040224287,false,false,0.9553282478039762
21,GSHD,2026-07-23,53.900001525878906,6.706424991022075,3.5649401474795086,34.548176929957265,18.253618605946652,-21.816072502042914,0.9613970588235294,0.6528301886792452,0.27184466019417475,0.9613970588235294,0.5398914700965305,0.08050361717595976,3.0454574600401676,0.4541104186085935,18.885531058924546,2.816035530734587,AT_10MA AT_20MA,,,,621155.0,32471852.50814438,84.02015761991053,risk,47.94904863357544,5.950952892303469,500.0,4528.686623917764,49.97246870044874,50.578508525520256,51.754938774188496,true,true,0.9467145191409899
22,GRPN,2026-07-23,25.420000076293945,9.264877529413361,2.0711039376335285,51.670642775342436,59.57312987643064,56.91357332801474,0.9779411764705882,0.8943396226415095,0.7728155339805824,0.9779411764705882,-4.2171515661605685,-0.45517618044839847,-1.2745868455522629,-0.137571904378208,17.39260445453694,1.8772622087362028,AT_10MA AT_20MA,2026-08-06,amc,8,1857910.0,47052303.38806152,629.9211992955285,risk,24.62625,0.7937500762939464,500.0,16012.596934151508,25.785551968816765,26.137639638214463,26.821103937633527,false,false,0.9457983193277313
23,DMRA,2026-07-23,29.170000076293945,10.35225057772966,2.6562927883680176,27.157800336521486,12.625484578865143,3.549875744734332,0.9301470588235294,0.5962264150943396,0.45048543689320386,0.9301470588235294,-4.672609852524741,-0.4513617418203459,0.8124782055831453,0.0784832437625683,13.047308980865774,1.2603355070378488,AT_10MA AT_20MA,2026-08-04,unknown,6,935950.0,25671277.025995255,471.142486741749,risk,28.10875,1.0612500762939447,500.0,13743.226374202137,29.57814639418401,30.029716168206573,30.906292788368017,false,false,0.9440359477124183
24,SLS,2026-07-23,12.34000015258789,13.470605851479768,1.3408838315828948,36.052927980027306,158.1589876767527,169.43232223031526,0.9632352941176471,0.9886792452830189,0.9669902912621359,0.9886792452830189,-2.3500791534216257,-0.174459796339707,-6.316854191699979,-0.4689361608042345,18.62074668215627,1.3823243651740245,AT_10MA AT_20MA,2026-08-11,unknown,11,11430860.0,154127600.43426037,705.7655411651812,risk,11.631549582481384,0.7084505701065069,499.99999999999994,8709.14688566961,12.360441496174747,12.58839174754384,13.030883411966196,false,false,0.9414570230607968
